	timestamp(CST)	stage(ft)
648	2016-07-05 17:00:04-05	0.33
649	2016-07-05 16:45:07-05	0.35
650	2016-07-05 16:30:10-05	0.35
651	2016-07-05 16:15:12-05	0.36
652	2016-07-05 16:00:01-05	0.36
653	2016-07-05 15:45:02-05	0.37
654	2016-07-05 15:30:04-05	0.35
655	2016-07-05 15:15:06-05	0.37
656	2016-07-05 15:00:09-05	0.38
657	2016-07-05 14:45:12-05	0.38
658	2016-07-05 14:30:00-05	0.38
659	2016-07-05 14:15:03-05	0.37
660	2016-07-05 14:00:07-05	0.4
661	2016-07-05 13:45:10-05	0.41
